env_timer: :3:rocdevice.cpp            :416 : 120608197648 us: 9417 : [tid:0x7f1bb9371080] Initializing HSA stack.
:3:devprogram.cpp           :2978: 120608452154 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_streamOpsWait
:3:devprogram.cpp           :2978: 120608452156 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_copyBuffer
:3:devprogram.cpp           :2978: 120608452158 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_streamOpsWrite
:3:devprogram.cpp           :2978: 120608452159 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_copyBufferRectAligned
:3:devprogram.cpp           :2978: 120608452161 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_gwsInit
:3:devprogram.cpp           :2978: 120608452162 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_copyBufferRect
:3:devprogram.cpp           :2978: 120608452164 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_fillBufferAligned
:3:devprogram.cpp           :2978: 120608452165 us: 9417 : [tid:0x7f1bb9371080] For Init/Fini: Kernel Name: __amd_rocclr_fillBufferAligned2D
:4:rocmemory.cpp            :941 : 120608452222 us: 9417 : [tid:0x7f1bb9371080] Locking to pool 0x1826fa0, size 0x1000, HostPtr = 0x1973000, DevPtr = 0x7f1bae016000
:4:rocdevice.cpp            :2070: 120608452428 us: 9417 : [tid:0x7f1bb9371080] Free hsa memory 0x7f1727400000
:3:rocdevice.cpp            :2093: 120608452434 us: 9417 : [tid:0x7f1bb9371080] device=0x18c9a20, freeMem_ = 0xff000000
:3:hip_memory.cpp           :539 : 120608452439 us: 9417 : [tid:0x7f1bb9371080] hipFree: Returned hipSuccess : 
